filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,label
8MGxNetjg_,0.519950747,0.045852661,1612.895795,1411.838677,2907.580566,0.107019495,-376.8760071,111.0173721,-31.90401268,6.622253895,-0.816813052,-4.456445217,-0.19870241,-3.759592772,-5.181572914,-0.665209234,-0.65647459,-7.439711571,-1.034579992,-0.203083739,-3.513494968,-1.745704651,-3.011877537,-2.878482342,-2.106426716,-4.026825428,-3.106705189,-1.608578444,-2.511513948,-2.824923992,-1.178711772,-1.873330832,-1.890048265,0.273036361,-1.955976129,-0.615695536,-0.199294195,-2.276272297,-0.625641167,-1.608060718,-1.412680268,-0.594154358,-2.270373821,-1.230998516,-1.667139649,-0.667804599,not_covid
1duoxdxBg_,0.535472155,0.001770617,2892.087076,2467.408141,5072.664388,0.148584436,-519.1584473,60.78128433,-13.72288609,52.1454277,0.051049832,-2.534910202,16.10362053,-1.49458015,4.123252392,11.03088379,-0.156306684,-0.909972489,7.216460705,-1.719629526,3.903021097,3.653039455,3.043882132,2.439957142,2.781968355,2.195161581,3.360687017,3.800881624,-1.759047627,4.385849953,0.303807974,1.084847927,-0.435623944,2.087790489,-1.13774085,3.432874918,-2.580676079,1.927567601,-2.116627693,1.253289342,-2.312177658,1.54075253,-3.853855848,1.536122322,-3.761888266,0.968225777,not_covid
SYO4wgiag_,0.496666104,0.033656985,3429.061935,2788.634413,6886.288452,0.22531467,-282.2979126,48.5816803,-15.52236557,12.71072197,4.199979782,-7.577726364,-19.32419205,-12.03764725,-16.90148354,13.69396496,0.82961458,-6.066336632,-4.167640209,1.017302513,-0.523806393,0.538692892,-8.855953217,-2.927976847,-1.118561864,-5.906227589,-5.520486832,1.945555568,-5.491860867,-0.875741422,-1.689726233,-1.319113016,-1.697329164,4.055312157,-4.863640308,0.407791734,-2.93775034,2.145279884,-2.767727852,0.227271304,-2.79679203,-0.805098951,-2.301651239,0.147188753,-1.996069074,2.062976122,not_covid
ajbAKd8Kg_,0.407548964,0.013452007,2710.811637,2664.28755,5778.474935,0.14207628,-346.8572998,75.76561737,-7.648193359,11.36212063,11.3654747,1.842425585,-7.957006454,-4.264208317,-8.283969879,3.105164051,-2.838680029,5.053118229,-0.29130739,0.987186015,-2.447526217,3.692367077,2.312327862,-2.059655905,-4.772598743,-0.503851473,-2.767023802,2.792290211,-3.344003677,-1.424279571,0.406103075,0.880801916,1.129710436,1.293248177,0.679739654,-0.022144318,0.274422795,1.614948034,-1.242404699,-1.523255706,-4.805856228,-1.141959786,-2.236271381,-2.583130121,-5.340420246,-2.442519665,not_covid
v1.wav,0.41269657,0.059003852,1555.648634,1418.599932,2870.737092,0.133998326,-340.5880127,104.1567001,-32.22844315,-13.61536217,-3.029664278,0.512090266,-21.81183815,-17.78181458,-9.270073891,-5.505613804,-5.385944366,-8.247168541,0.940005779,-5.701087475,-6.326630116,-1.080039859,-1.812609196,-2.518985748,-3.684266329,-3.564146042,-3.4010818,-0.514286101,-1.746374607,-1.961999416,-1.54330945,-0.962256789,-2.608119488,-2.475319147,0.08374507,-1.533388257,-1.199652314,-0.151529491,-1.332800388,-0.106066331,0.582512736,-0.861202836,0.320628047,1.574154139,0.413458556,0.444616139,covid
v2.wav,0.411223084,0.062716424,2583.166934,2139.571025,4960.213216,0.195427789,-341.6690063,48.31515121,-20.56740761,18.05030251,-16.14284706,26.60390663,-12.09328651,-15.43526649,-22.6359539,-10.5868082,-14.6421566,-13.20374107,-4.272642612,-12.16137028,-5.901211739,-9.495268822,-5.752598286,-12.5530777,-14.74346066,-5.856838703,-14.83526802,-2.003656626,-9.170024872,-8.287941933,-4.490869999,-0.106134415,1.639780402,-2.776977777,-2.101426363,-2.128056049,1.911646724,-3.126147747,1.011977911,2.321200848,6.854999542,0.107692063,7.632982731,3.534272909,0.966945946,3.617649794,covid
ugh-shallo,0.434887528,0.007785665,2072.981248,2381.560624,4941.870117,0.086531929,-352.8711243,106.1250839,-5.234628201,17.11799812,-13.15810776,17.44229698,-21.3316021,-10.11855316,-7.896807671,-12.17444611,-7.906350136,-6.883115768,-13.23651028,-7.681481361,-8.179978371,1.332158566,-12.48445606,-6.152116299,-16.21385002,-6.940216541,-10.81261635,-3.150328159,-9.448581696,-3.469168663,-9.015179634,-3.921291113,-5.630397797,2.408682585,-5.103997707,-1.92277658,-6.600829601,-2.118093014,-3.947505236,-0.296240032,-6.409776688,-1.381867647,-2.729347467,-0.4571262,-4.335570812,-0.297705233,covid
s-0421-084,0.420671344,0.03017102,1846.500366,1846.403105,3766.565959,0.109831633,-436.9234619,57.27851868,-3.100973845,9.521533966,-7.6851511,0.912914991,-10.63609695,-7.915723801,-12.53314686,-2.952210426,2.407271862,-6.689751625,-3.594997168,-6.064612389,0.219622359,-4.865090847,-6.623952866,-4.520339966,-5.508700371,-5.995492935,-4.72783041,-2.172194481,-6.023199081,-4.655106544,-3.133521795,-2.172109604,-1.796295166,-1.214093328,-1.008312821,-1.637058377,-2.135099173,-1.89598,-2.132220984,-2.680509329,-1.65182972,-1.83609724,0.653743625,-0.280277282,0.455354422,1.09559238,covid
ugh-heavy-,0.472825021,0.070594445,3048.247566,1789.17763,4997.507931,0.323078486,-367.3935547,27.25025749,-84.51605988,39.2872467,-19.60972404,18.51053238,-3.435469866,7.919528008,-10.1303215,-7.816189766,2.063077211,-17.15857315,6.437907696,-12.56119633,-4.894081116,-4.535070419,-9.711328506,-7.495490551,-3.640197039,0.07431718,-0.98566854,4.306928158,-4.769632816,-1.393244982,-3.245660782,-1.83916533,-0.480949312,1.453505278,1.301669836,-2.989070892,1.852516532,-1.382788062,2.432468414,-1.220166206,-0.983291209,0.339396715,-3.49244833,2.482026339,0.938496649,0.426408082,covid
ugh-heavy-,0.41269657,0.059003852,1555.648634,1418.599932,2870.737092,0.133998326,-340.5880127,104.1567001,-32.22844315,-13.61536217,-3.029664278,0.512090266,-21.81183815,-17.78181458,-9.270073891,-5.505613804,-5.385944366,-8.247168541,0.940005779,-5.701087475,-6.326630116,-1.080039859,-1.812609196,-2.518985748,-3.684266329,-3.564146042,-3.4010818,-0.514286101,-1.746374607,-1.961999416,-1.54330945,-0.962256789,-2.608119488,-2.475319147,0.08374507,-1.533388257,-1.199652314,-0.151529491,-1.332800388,-0.106066331,0.582512736,-0.861202836,0.320628047,1.574154139,0.413458556,0.444616139,covid
