,spectral_centroid,spectral_bandwidth,rolloff,mfcc1,mfcc2,mfcc3,mfcc5,mfcc6,mfcc8,mfcc12,mfcc14,mfcc21,mfcc30,mfcc32,mfcc34,mfcc36,label
0,1612.895795,1411.838677,2907.580566,-376.8760071,111.0173721,-31.90401268,-0.816813052,-4.456445217,-3.759592772,-7.439711571,-0.203083739,-3.106705189,-0.615695536,-2.276272297,-1.608060718,-0.594154358,not_TB
1,2892.087076,2467.408141,5072.664388,-519.1584473,60.78128433,-13.72288609,0.051049832,-2.534910202,-1.49458015,-0.909972489,-1.719629526,3.360687017,3.432874918,1.927567601,1.253289342,1.54075253,not_TB
2,3429.061935,2788.634413,6886.288452,-282.2979126,48.5816803,-15.52236557,4.199979782,-7.577726364,-12.03764725,-6.066336632,1.017302513,-5.520486832,0.407791734,2.145279884,0.227271304,-0.805098951,not_TB
3,2710.811637,2664.28755,5778.474935,-346.8572998,75.76561737,-7.648193359,11.3654747,1.842425585,-4.264208317,5.053118229,0.987186015,-2.767023802,-0.022144318,1.614948034,-1.523255706,-1.141959786,not_TB
4,1555.648634,1418.599932,2870.737092,-340.5880127,104.1567001,-32.22844315,-3.029664278,0.512090266,-17.78181458,-8.247168541,-5.701087475,-3.4010818,-1.533388257,-0.151529491,-0.106066331,-0.861202836,TB
5,2583.166934,2139.571025,4960.213216,-341.6690063,48.31515121,-20.56740761,-16.14284706,26.60390663,-15.43526649,-13.20374107,-12.16137028,-14.83526802,-2.128056049,-3.126147747,2.321200848,0.107692063,TB
6,2072.981248,2381.560624,4941.870117,-352.8711243,106.1250839,-5.234628201,-13.15810776,17.44229698,-10.11855316,-6.883115768,-7.681481361,-10.81261635,-1.92277658,-2.118093014,-0.296240032,-1.381867647,TB
7,1846.500366,1846.403105,3766.565959,-436.9234619,57.27851868,-3.100973845,-7.6851511,0.912914991,-7.915723801,-6.689751625,-6.064612389,-4.72783041,-1.637058377,-1.89598,-2.680509329,-1.83609724,TB
8,3048.247566,1789.17763,4997.507931,-367.3935547,27.25025749,-84.51605988,-19.60972404,18.51053238,7.919528008,-17.15857315,-12.56119633,-0.98566854,-2.989070892,-1.382788062,-1.220166206,0.339396715,TB
9,1555.648634,1418.599932,2870.737092,-340.5880127,104.1567001,-32.22844315,-3.029664278,0.512090266,-17.78181458,-8.247168541,-5.701087475,-3.4010818,-1.533388257,-0.151529491,-0.106066331,-0.861202836,TB
10,1803.12302,1610.208629,3418.994141,-356.8205566,101.5689392,-28.54382324,-14.51576519,6.351990223,-4.68641901,-4.710785389,0.748671234,-5.901260853,-3.272258282,-0.87263149,-2.712410212,-3.771159887,TB
11,2073.045599,1921.397976,4125.10376,-303.7221069,66.26728821,-13.15584087,-23.56047249,18.570467,-8.279063225,-15.45806503,-11.55113602,-11.63992691,-3.832793713,-6.824887276,0.254520386,1.695844889,TB
12,2378.157877,1837.929976,4174.002075,-461.9284668,64.60335541,0.100224249,-8.108021736,7.461580753,-9.207993507,-14.06941605,-7.455938816,-3.507563829,-2.826073647,-0.055358928,-0.627334714,-2.629452229,TB
13,2266.94546,1764.567442,4113.24056,-320.3189392,73.55955505,-29.05811691,-26.06049347,6.51392746,-6.290836811,-10.21731377,-11.59835434,-7.620334148,-2.460366964,-4.046988487,-1.540225387,-1.310073256,TB
14,2385.203326,1833.001714,4335.949707,-292.0627136,69.57894897,-33.95558548,-23.11061859,0.089369491,-5.161098957,-13.55015945,-14.89660454,-0.853634,-1.669282675,-4.285761356,-2.12614727,-4.536326885,TB
15,1715.378638,1905.517974,3689.530535,-463.2567749,47.23523712,-1.711265326,6.720355511,0.885247409,-1.573733687,-2.645979404,-3.246185541,-3.839523077,-0.279395521,0.735423028,-0.767375231,0.097588457,TB
16,1953.875884,1841.229434,4010.060628,-400.5546875,82.68526459,-15.98118782,-26.55391884,1.399505854,-1.597814441,-4.737539291,-10.23389816,-5.952578545,-1.973991632,-3.943994045,-4.573736191,-3.610580921,TB
